id,title,description,category,priority,status,owner,effort,impact,source
11,Backup human for Gabi + automation safety net,"If Gabi is unavailable for more than 48 hours, Mihaela steps in. Alice monitors for missed touches (day 1 through day 30 triggers) and flags anything that didn't fire. No Angel should fall through the gap silently.",Failure Mitigation,11,unchecked,Mihaela,M,H,2026-05-13 design conversation
12,Add 2-3 secondary engagement signals beyond Angel Spaces,"Day-30 success = first Angel Spaces interaction. But that's a lagging indicator. Add 2-3 leading signals in weeks 1-2: WhatsApp reply rate, link clicks in welcome kit, RSVP to any event. Lets Gabi intervene before day 30.",Failure Mitigation,12,unchecked,Dragos,M,H,2026-05-13 design conversation
13,Stress-test cadence with first 10 Angels before full rollout,"Run the 30-day sequence manually with the first 10 Angels (or simulate it). Find the broken steps before turning on automation for everyone. One broken automated touch at scale is harder to fix than at 10.",Failure Mitigation,13,unchecked,Gabi,M,H,2026-05-13 design conversation
14,Schedule quarterly welcome kit refresh,"The welcome kit goes stale within one year: dates, impact numbers, and program references all age. Assign Madi a quarterly review slot (January, April, July, October) to update the kit before the next cohort.",Failure Mitigation,14,unchecked,Madi,S,M,2026-05-13 design conversation
15,Prioritize NB to GlobalRomania integration,"Manual matching between NationBuilder and GlobalRomania (Circle) is the single biggest operational risk. A new Angel who doesn't appear in Circle within 48 hours falls out of the day-1 community touch. Programmatic sync eliminates this class of failure.",Failure Mitigation,15,unchecked,Mihai / GR admin,L,H,2026-05-13 design conversation
16,Build an explicit tier-override path for Archangel and Legacy tiers,"The 30-day sequence is designed for the standard Angel tier. Archangel ($5K) and Legacy Builder ($10K) Angels expect a meaningfully different experience. Define what changes: different physical artifact, direct Mihai call on day 3 instead of video, different Circle space.",Failure Mitigation,16,unchecked,Mihaela,M,M,2026-05-13 design conversation
17,Build a recruiter-side nudge system and fallback if recruiter goes silent,"The recruiter peer-welcome at day 2 only works if the recruiter responds. Alice monitors for non-response after 24 hours and escalates to Gabi to cover. Without the fallback, the warmest possible touch is also the most fragile.",Failure Mitigation,17,unchecked,Alice / Dragos,M,H,2026-05-13 design conversation
18,Peer-to-peer Angel mentorship matching,"Longer-term benefit: Angels with 1+ year of tenure mentor new Angels in the same industry or city. Deepens peer bonds, gives senior Angels a leadership role, and creates a natural retention hook for year-2 renewal.",Benefits Expansion,18,unchecked,Gabi,L,M,2026-05-13 design conversation
19,Annual Angel Council,"10-15 Angels selected (rotating) for real strategic input: program decisions, grant priorities, new benefit design. Not a rubber stamp. Angels who feel heard stay. This is the highest-retention benefit we can build at low cost.",Benefits Expansion,19,unchecked,Mihai,M,H,2026-05-13 design conversation
20,Family and next-generation benefits,"Magic Camp priority slot, Via Transilvanica family day, young-leaders program visibility for Angel children. Anchors the Angel's identity as a Romanian legacy builder, not just a donor.",Benefits Expansion,20,unchecked,Madi,M,M,2026-05-13 design conversation
21,Career and business reciprocity,"Angel job board, warm intros within the Angel network, peer mentorship for business challenges. Turns the Angel network into a two-way value exchange. Most diaspora giving programs are one-directional — this differentiates RUF.",Benefits Expansion,21,unchecked,Gabi,M,M,2026-05-13 design conversation
22,Trust and accountability benefits,"Quarterly transparency briefings, CFO Q&A access, program audit visibility. Angels who see the books trust the mission. This benefit costs almost nothing and eliminates the #1 attrition signal (feeling like a passive ATM).",Benefits Expansion,22,unchecked,Mihaela,S,H,2026-05-13 design conversation
23,Rituals and moments,"Angel Day on December 1, an annual induction ceremony for the newest cohort, anniversary recognition at year 1 and year 3. Rituals create belonging. Without them the Angel relationship is purely transactional.",Benefits Expansion,23,unchecked,Gabi,M,H,2026-05-13 design conversation
24,Personal Angel page,"A per-Angel URL (e.g. globalromania.com/angels/ion-popescu) showing their cumulative impact story: years active, funds contributed, programs touched, people helped. Shareable. Becomes a social identity artifact.",Benefits Expansion,24,unchecked,Alice,L,H,2026-05-13 design conversation
25,Time bank — Angels offer expertise hours,"Angels can contribute expertise (legal, marketing, tech, finance) to a brokered pool that RUF matches to program needs. Gives non-financial value a formal channel. Especially powerful for Angels who give time and money.",Benefits Expansion,25,unchecked,Gabi,L,M,2026-05-13 design conversation
26,Pre-decision visibility for higher tiers,"Archangel and Legacy Builder Angels receive strategic briefings before major announcements: new programs, big hires, capital decisions. 'No surprises' is itself a benefit. Makes higher-tier giving feel like real partnership.",Benefits Expansion,26,unchecked,Mihai,S,M,2026-05-13 design conversation
27,Bespoke Romania experiences,"When an Angel visits Romania, RUF arranges a curated experience: a program site visit, a dinner with local leadership, a Via Transilvanica segment. Turns a personal trip into a mission moment.",Benefits Expansion,27,unchecked,Gabi,M,M,2026-05-13 design conversation
28,Annual personalized year-in-review video,"Each Angel receives a short personalized video (60-90 seconds) at year-end summarizing their specific impact: the programs their gift funded, the people it reached, what comes next. Higher production value for higher tiers.",Benefits Expansion,28,unchecked,Madi,L,H,2026-05-13 design conversation
